Security	SEC filings	Ticker symbol	GICS Sector	GICS Sub Industry	Address of Headquarters	Date first added	CIK
Micron Technology	reports	MU	Information Technology	Semiconductors	Boise, Idaho		723125
Microsoft Corp.	reports	MSFT	Information Technology	Systems Software	Redmond, Washington		789019
Mohawk Industries	reports	MHK	Consumer Discretionary	Home Furnishings	Amsterdam, New York		851968
Molson Coors Brewing Company	reports	TAP	Consumer Staples	Brewers	Denver, Colorado		24545
Mondelez International	reports	MDLZ	Consumer Staples	Packaged Foods & Meats	Northfield, Illinois	02.10.2012	1103982
Monsanto Co.	reports	MON	Materials	Fertilizers & Agricultural Chemicals	Creve Coeur, Missouri		1110783
Monster Beverage	reports	MNST	Consumer Staples	Soft Drinks	Corona, California	28.06.2012	865752
Moody's Corp	reports	MCO	Financials	Diversified Financial Services	New York, New York		1059556
Morgan Stanley	reports	MS	Financials	Diversified Financial Services	New York, New York		895421
The Mosaic Company	reports	MOS	Materials	Fertilizers & Agricultural Chemicals	Plymouth, Minnesota		1285785
Motorola Solutions Inc.	reports	MSI	Information Technology	Telecommunications Equipment	Schaumburg, Illinois		68505
Murphy Oil	reports	MUR	Energy	Integrated Oil & Gas	El Dorado, Arkansas		717423
Mylan Inc.	reports	MYL	Health Care	Pharmaceuticals	Canonsburg, Pennsylvania		69499
Nabors Industries Ltd.	reports	NBR	Energy	Oil & Gas Drilling	Hamilton, Bermuda		1163739
NASDAQ OMX Group	reports	NDAQ	Financials	Diversified Financial Services	New York, New York		1120193
National Oilwell Varco Inc.	reports	NOV	Energy	Oil & Gas Equipment & Services	Houston, Texas		1021860
Navient Corp	reports	NAVI	Financials	Consumer Finance	Newark, Delaware		1084750
NetApp	reports	NTAP	Information Technology	Internet Software & Services	Sunnyvale, California		1002047
Netflix Inc.	reports	NFLX	Information Technology	Internet Software & Services	Los Gatos, California		1065280
Newell Rubbermaid Co.	reports	NWL	Consumer Discretionary	Housewares & Specialties	Sandy Springs, Georgia		814453
Newfield Exploration Co	reports	NFX	Energy	Oil & Gas Exploration & Production	Houston, Texas		912750
Newmont Mining Corp. (Hldg. Co.)	reports	NEM	Materials	Gold	Denver, Colorado		1164727
News Corporation	reports	NWSA	Consumer Discretionary	Publishing	New York, New York		1564708
NextEra Energy	reports	NEE	Utilities	Multi-Utilities & Unregulated Power	Juno Beach, Florida		753308
Nielsen Holdings	reports	NLSN	Industrials	Research & Consulting Services	New York, New York	08.07.2013	1492633
NIKE Inc.	reports	NKE	Consumer Discretionary	Apparel, Accessories & Luxury Goods	Washington County, Oregon		320187
NiSource Inc.	reports	NI	Utilities	Multi-Utilities & Unregulated Power	Merrillville, Indiana		1111711
Noble Corp	reports	NE	Energy	Oil & Gas Drilling	Geneva, Switzerland		1458891
Noble Energy Inc	reports	NBL	Energy	Oil & Gas Exploration & Production	Houston, Texas		72207
Nordstrom	reports	JWN	Consumer Discretionary	Department Stores	Seattle, Washington		72333
Norfolk Southern Corp.	reports	NSC	Industrials	Railroads	Norfolk, Virginia		702165
Northern Trust Corp.	reports	NTRS	Financials	Diversified Financial Services	Chicago, Illinois		73124
Northrop Grumman Corp.	reports	NOC	Industrials	Aerospace & Defense	West Falls Church, Virginia		1133421
Northeast Utilities	reports	NU	Utilities	Multi-Utilities & Unregulated Power	Berlin, Connecticut		72741
NRG Energy	reports	NRG	Utilities	Multi-Utilities & Unregulated Power	Princeton, New Jersey		1013871
Nucor Corp.	reports	NUE	Materials	Steel	Charlotte, North Carolina		73309
Nvidia Corporation	reports	NVDA	Information Technology	Semiconductors	Santa Clara, California		1045810
Michael Kors	reports	KORS	Consumer Discretionary	Apparel, Accessories & Luxury Goods	New York, New York		1530721
O'Reilly Automotive	reports	ORLY	Consumer Discretionary	Specialty Stores	Springfield, Missouri		898173
Occidental Petroleum	reports	OXY	Energy	Oil & Gas Exploration & Production	Los Angeles, California		797468
Omnicom Group	reports	OMC	Consumer Discretionary	Advertising	New York, New York		29989
ONEOK	reports	OKE	Energy	Oil & Gas Exploration & Production	Tulsa, Oklahoma		1039684
Oracle Corp.	reports	ORCL	Information Technology	Application Software	Redwood Shores, California		1341439
Owens-Illinois Inc	reports	OI	Materials	Metal & Glass Containers	Perrysburg, Ohio		812074
P G & E Corp.	reports	PCG	Utilities	Multi-Utilities & Unregulated Power	San Francisco, California		1004980
PACCAR Inc.	reports	PCAR	Industrials	Construction & Farm Machinery & Heavy Trucks	Bellevue, Washington		75362
Pall Corp.	reports	PLL	Industrials	Industrial Conglomerates	Port Washington, New York		75829
Parker-Hannifin	reports	PH	Industrials	Industrial Conglomerates	Cleveland, Ohio		76334
Patterson Companies	reports	PDCO	Health Care	Health Care Supplies	St. Paul, Minnesota		891024
Paychex Inc.	reports	PAYX	Information Technology	Internet Software & Services	Penfield, New York		723531
Peabody Energy	reports	BTU	Energy	Oil & Gas Exploration & Production	St. Louis, Missouri		1064728
Pentair Ltd.	reports	PNR	Industrials	Industrial Conglomerates	Schaffhausen, Switzerland	01.10.2012	77360
People's United Bank	reports	PBCT	Financials	Banks	Bridgeport, Connecticut		1378946
Pepco Holdings Inc.	reports	POM	Utilities	Multi-Utilities & Unregulated Power	Washington D.C		1135971
PepsiCo Inc.	reports	PEP	Consumer Staples	Soft Drinks	Purchase, New York		77476
PerkinElmer	reports	PKI	Health Care	Health Care Equipment & Services	Waltham, Massachusetts		31791
Perrigo	reports	PRGO	Health Care	Pharmaceuticals	Dublin, Ireland	16.12.2011	1585364
PetSmart, Inc.	reports	PETM	Consumer Discretionary	Specialty Stores	Phoenix, Arizona	10.10.2012	863157
Pfizer Inc.	reports	PFE	Health Care	Pharmaceuticals	New York, New York		78003
Philip Morris International	reports	PM	Consumer Staples	Tobacco	New York, New York		1413329
Phillips 66	reports	PSX	Energy	Oil & Gas Refining & Marketing & Transportation	Houston, Texas	30.04.2012	1534701
Pinnacle West Capital	reports	PNW	Utilities	Multi-Utilities & Unregulated Power	Phoenix, Arizona		764622
Pioneer Natural Resources	reports	PXD	Energy	Oil & Gas Exploration & Production	Irving, Texas		1038357
Pitney-Bowes	reports	PBI	Industrials	Data Processing Services	Stamford, Connecticut		78814
Plum Creek Timber Co.	reports	PCL	Financials	REITs	Seattle, Washington		849213
PNC Financial Services	reports	PNC	Financials	Banks	Pittsburgh, Pennsylvania		713676
Polo Ralph Lauren Corp.	reports	RL	Consumer Discretionary	Apparel, Accessories & Luxury Goods	New York, New York		1037038
PPG Industries	reports	PPG	Materials	Diversified Chemicals	Pittsburgh, Pennsylvania		79879
PPL Corp.	reports	PPL	Utilities	Multi-Utilities & Unregulated Power	Allentown, Pennsylvania		922224
Praxair Inc.	reports	PX	Materials	Industrial Gases	Danbury, Connecticut		884905
Precision Castparts	reports	PCP	Industrials	Industrial Conglomerates	Portland, Oregon		79958
Priceline.com Inc	reports	PCLN	Consumer Discretionary	Hotels, Resorts & Cruise Lines	Norwalk, Connecticut		1075531
Principal Financial Group	reports	PFG	Financials	Diversified Financial Services	Des Moines, Iowa		1126328
Procter & Gamble	reports	PG	Consumer Staples	Personal Products	Cincinnati, Ohio		80424
Progressive Corp.	reports	PGR	Financials	Property & Casualty Insurance	Mayfield Village, Ohio		80661
Prologis	reports	PLD	Financials	Diversified Financial Services	San Francisco, California		1045609
Prudential Financial	reports	PRU	Financials	Diversified Financial Services	Newark, New Jersey		1137774
Public Serv. Enterprise Inc.	reports	PEG	Utilities	Multi-Utilities & Unregulated Power	Newark, New Jersey		788784
Public Storage	reports	PSA	Financials	REITs	Glendale, California		1393311
Pulte Homes Inc.	reports	PHM	Consumer Discretionary	Homebuilding	Bloomfield Hills, Michigan		822416
PVH Corp.	reports	PVH	Consumer Discretionary	Apparel, Accessories & Luxury Goods	New York, New York	15.02.2013	78239
QEP Resources	reports	QEP	Energy	Oil & Gas Exploration & Production	Denver, Colorado[5]		1108827
Quanta Services Inc.	reports	PWR	Industrials	Industrial Conglomerates	Houston, Texas		1050915
QUALCOMM Inc.	reports	QCOM	Information Technology	Semiconductors	San Diego, California		804328
Quest Diagnostics	reports	DGX	Health Care	Health Care Facilities	Madison, New Jersey		1022079
Range Resources Corp.	reports	RRC	Energy	Oil & Gas Exploration & Production	Fort Worth, Texas		315852
Raytheon Co.	reports	RTN	Industrials	Aerospace & Defense	Waltham, Massachusetts		1047122
Red Hat Inc.	reports	RHT	Information Technology	Systems Software	Raleigh, North Carolina		1087423
Regeneron	reports	REGN	Health Care	Biotechnology	Tarrytown, New York	01.05.2013	872589
Regions Financial Corp.	reports	RF	Financials	Diversified Financial Services	Birmingham, Alabama		1281761
Republic Services Inc	reports	RSG	Industrials	Industrial Conglomerates	Phoenix, Arizona		1060391
Reynolds American Inc.	reports	RAI	Consumer Staples	Tobacco	Winston-Salem, North Carolina		1275283
Robert Half International	reports	RHI	Industrials	Industrial Conglomerates	Menlo Park, California		315213
Rockwell Automation Inc.	reports	ROK	Industrials	Industrial Conglomerates	Milwaukee, Wisconsin		1024478
Rockwell Collins	reports	COL	Industrials	Industrial Conglomerates	Cedar Rapids, Iowa		1137411
Roper Industries	reports	ROP	Industrials	Industrial Conglomerates	Sarasota, Florida		882835
Ross Stores	reports	ROST	Consumer Discretionary	Apparel Retail	Pleasanton, California		745732
Rowan Cos.	reports	RDC	Energy	Oil & Gas Drilling	Houston, Texas		85408
Ryder System	reports	R	Industrials	Industrial Conglomerates	Miami, Florida		85961
Safeway Inc.	reports	SWY	Consumer Staples	Food Retail	Pleasanton, California		86144
Salesforce.com	reports	CRM	Information Technology	Internet Software & Services	San Francisco, California		1108524
SanDisk Corporation	reports	SNDK	Information Technology	Computer Storage & Peripherals	Milpitas, California		1000180
SCANA Corp	reports	SCG	Utilities	Multi-Utilities & Unregulated Power	Cayce, South Carolina		754737
Schlumberger Ltd.	reports	SLB	Energy	Oil & Gas Equipment & Services	Houston, Texas		87347
Scripps Networks Interactive Inc.	reports	SNI	Consumer Discretionary	Broadcasting & Cable TV	Cincinnati, Ohio		1430602
Seagate Technology	reports	STX	Information Technology	Computer Storage & Peripherals	Dublin, Ireland	29.06.2012	1137789
Sealed Air Corp.(New)	reports	SEE	Materials	Paper Packaging	Elmwood Park, New Jersey		1012100
Sempra Energy	reports	SRE	Utilities	Multi-Utilities & Unregulated Power	San Diego, California		1032208
Sherwin-Williams	reports	SHW	Materials	Specialty Chemicals	Cleveland, Ohio		89800
Sigma-Aldrich	reports	SIAL	Materials	Diversified Chemicals	St. Louis, Missouri		90185
Simon Property Group Inc	reports	SPG	Financials	REITs	Indianapolis, Indiana		1063761
Smucker (J.M.)	reports	SJM	Consumer Staples	Packaged Foods & Meats	Orrville, Ohio		91419
Snap-On Inc.	reports	SNA	Consumer Discretionary	Household Appliances	Kenosha, Wisconsin		91440
Southern Co.	reports	SO	Utilities	Multi-Utilities & Unregulated Power	Atlanta, Georgia		92122
Southwest Airlines	reports	LUV	Industrials	Airlines	Dallas, Texas		92380
Southwestern Energy	reports	SWN	Energy	Oil & Gas Exploration & Production	Houston, Texas[6]		7332
Spectra Energy Corp.	reports	SE	Energy	Oil & Gas Refining & Marketing & Transportation	Houston, Texas		1373835
St Jude Medical	reports	STJ	Health Care	Health Care Equipment & Services	Little Canada, Minnesota		203077
Stanley Black & Decker	reports	SWK	Consumer Discretionary	Household Appliances	New Britain, Connecticut		93556
Staples Inc.	reports	SPLS	Consumer Discretionary	Specialty Stores	Framingham, Massachusetts		791519
Starbucks Corp.	reports	SBUX	Consumer Discretionary	Restaurants	Seattle, Washington		829224
Starwood Hotels & Resorts	reports	HOT	Consumer Discretionary	Hotels, Resorts & Cruise Lines	White Plains, New York		316206
State Street Corp.	reports	STT	Financials	Diversified Financial Services	Boston, Massachusetts		93751
Stericycle Inc	reports	SRCL	Industrials	Industrial Conglomerates	Lake Forest, Illinois		861878
Stryker Corp.	reports	SYK	Health Care	Health Care Equipment & Services	Kalamazoo, Michigan		310764
SunTrust Banks	reports	STI	Financials	Banks	Atlanta, Georgia		750556
Symantec Corp.	reports	SYMC	Information Technology	Application Software	Mountain View, California		849399
Sysco Corp.	reports	SYY	Consumer Staples	Food Distributors	Houston, Texas		96021
T. Rowe Price Group	reports	TROW	Financials	Diversified Financial Services	Baltimore, Maryland		1113169
Target Corp.	reports	TGT	Consumer Discretionary	General Merchandise Stores	Minneapolis, Minnesota		27419
TE Connectivity Ltd.	reports	TEL	Information Technology	Electronic Equipment & Instruments	Schaffhausen, Switzerland		1385157
TECO Energy	reports	TE	Utilities	Multi-Utilities & Unregulated Power	Tampa, Florida		350563
Tenet Healthcare Corp.	reports	THC	Health Care	Health Care Facilities	Dallas, Texas		70318
Teradata Corp.	reports	TDC	Information Technology	Application Software	Miamisburg, Ohio		816761
Tesoro Petroleum Co.	reports	TSO	Energy	Oil & Gas Refining & Marketing & Transportation	San Antonio, Texas		50104
Texas Instruments	reports	TXN	Information Technology	Semiconductors	Dallas, Texas		97476
Textron Inc.	reports	TXT	Industrials	Industrial Conglomerates	Providence, Rhode Island		217346
The Hershey Company	reports	HSY	Consumer Staples	Packaged Foods & Meats	Hershey, Pennsylvania		47111
The Travelers Companies Inc.	reports	TRV	Financials	Property & Casualty Insurance	New York, New York		86312
Thermo Fisher Scientific	reports	TMO	Health Care	Health Care Equipment & Services	Waltham, Massachusetts		97745
Tiffany & Co.	reports	TIF	Consumer Discretionary	Apparel, Accessories & Luxury Goods	New York, New York		98246
Time Warner Inc.	reports	TWX	Consumer Discretionary	Broadcasting & Cable TV	New York, New York		1105705
Time Warner Cable Inc.	reports	TWC	Consumer Discretionary	Broadcasting & Cable TV	New York, New York		1377013
TJX Companies Inc.	reports	TJX	Consumer Discretionary	Apparel Retail	Framingham, Massachusetts		109198
Torchmark Corp.	reports	TMK	Financials	Life & Health Insurance	McKinney, Texas		320335
Total System Services	reports	TSS	Information Technology	Internet Software & Services	Columbus, Georgia		721683
Tractor Supply Company	reports	TSCO	Consumer Discretionary	Specialty Retail	Brentwood, Tennessee		916365
Transocean	reports	RIG	Energy	Oil & Gas Drilling	Vernier, Switzerland	28.10.2013	1451505
TripAdvisor	reports	TRIP	Consumer Discretionary	Internet Retail	Newton, Massachusetts		1526520
Twenty-First Century Fox	reports	FOXA	Consumer Discretionary	Publishing	New York, New York	01.07.2013	1308161
Tyson Foods	reports	TSN	Consumer Staples	Packaged Foods & Meats	Springdale, Arkansas		100493
Tyco International	reports	TYC	Industrials	Industrial Conglomerates	Schaffhausen, Switzerland		833444
U.S. Bancorp	reports	USB	Financials	Banks	Minneapolis, Minnesota		36104
Under Armour	reports	UA	Consumer Discretionary	Apparel, Accessories & Luxury Goods	Baltimore, Maryland		1336917
Union Pacific	reports	UNP	Industrials	Railroads	Omaha, Nebraska		100885
United Health Group Inc.	reports	UNH	Health Care	Managed Health Care	Minnetonka, Minnesota		731766
United Parcel Service	reports	UPS	Industrials	Air Freight & Logistics	Atlanta, Georgia		1090727
United States Steel Corp.	reports	X	Materials	Steel	Pittsburgh, Pennsylvania		1163302
United Technologies	reports	UTX	Industrials	Industrial Conglomerates	Hartford, Connecticut		101829
Unum Group	reports	UNM	Financials	Diversified Financial Services	Chattanooga, Tennessee		5513
Urban Outfitters	reports	URBN	Consumer Discretionary	Apparel Retail	Philadelphia, Pennsylvania		912615
V.F. Corp.	reports	VFC	Consumer Discretionary	Apparel, Accessories & Luxury Goods	Greensboro, North Carolina		103379
Valero Energy	reports	VLO	Energy	Oil & Gas Refining & Marketing & Transportation	San Antonio, Texas		1035002
Varian Medical Systems	reports	VAR	Health Care	Health Care Equipment & Services	Palo Alto, California		203527
Ventas Inc	reports	VTR	Financials	Diversified Financial Services	Chicago, Illinois		740260
Verisign Inc.	reports	VRSN	Information Technology	Internet Software & Services	Dulles, Virginia		1014473
Verizon Communications	reports	VZ	Telecommunications Services	Integrated Telecommunications Services	New York, New York		732712
Vertex Pharmaceuticals Inc	reports	VRTX	Health Care	Biotechnology	Cambridge, Massachusetts	20.09.2013	875320
Viacom Inc.	reports	VIAB	Consumer Discretionary	Broadcasting & Cable TV	New York, New York		1339947
Visa Inc.	reports	V	Information Technology	Internet Software & Services	San Francisco, California		1403161
Vornado Realty Trust	reports	VNO	Financials	REITs	New York, New York		899689
Vulcan Materials	reports	VMC	Materials	Construction Materials	Birmingham, Alabama		1396009
Wal-Mart Stores	reports	WMT	Consumer Staples	Hypermarkets & Super Centers	Bentonville, Arkansas		104169
Walgreen Co.	reports	WAG	Consumer Staples	Drug Retail	Deerfield, Illinois		104207
The Walt Disney Company	reports	DIS	Consumer Discretionary	Broadcasting & Cable TV	Burbank, California		1001039
Graham Holdings Company	reports	GHC	Consumer Discretionary	Publishing	Washington D.C		104889
Waste Management Inc.	reports	WM	Industrials	Environmental Services	Houston, Texas		823768
Waters Corporation	reports	WAT	Health Care	Health Care Distributors & Services	Milford, Massachusetts		1000697
WellPoint Inc.	reports	WLP	Health Care	Managed Health Care	Indianapolis, Indiana		1156039
Wells Fargo	reports	WFC	Financials	Banks	San Francisco, California		72971
Western Digital	reports	WDC	Information Technology	Computer Storage & Peripherals	Irvine, California		106040
Western Union Co	reports	WU	Information Technology	Internet Software & Services	Englewood, Colorado		1365135
Weyerhaeuser Corp.	reports	WY	Financials	REITs	Federal Way, Washington		106535
Whirlpool Corp.	reports	WHR	Consumer Discretionary	Household Appliances	Benton Harbor, Michigan		106640
Whole Foods Market	reports	WFM	Consumer Staples	Food Retail	Austin, Texas		865436
Williams Cos.	reports	WMB	Energy	Oil & Gas Exploration & Production	Tulsa, Oklahoma		107263
Windstream Communications	reports	WIN	Telecommunications Services	Integrated Telecommunications Services	Little Rock, Arkansas		1282266
Wisconsin Energy Corporation	reports	WEC	Utilities	Multi-Utilities & Unregulated Power	Milwaukee, Wisconsin		783325
Wyndham Worldwide	reports	WYN	Consumer Discretionary	Hotels, Resorts & Cruise Lines	Parsippany, New Jersey		1361658
Wynn Resorts Ltd	reports	WYNN	Consumer Discretionary	Casinos & Gaming	Las Vegas, Nevada		1174922
Xcel Energy Inc	reports	XEL	Utilities	Multi-Utilities & Unregulated Power	Minneapolis, Minnesota		72903
Xerox Corp.	reports	XRX	Information Technology	IT Consulting & Services	Norwalk, Connecticut		108772
Xilinx Inc	reports	XLNX	Information Technology	Semiconductors	San Jose, California		743988
XL Capital	reports	XL	Financials	Property & Casualty Insurance	Hamilton, Bermuda		875159
Xylem Inc.	reports	XYL	Industrials	Industrial Conglomerates	White Plains, New York		1524472
Yahoo Inc.	reports	YHOO	Information Technology	Internet Software & Services	Sunnyvale, California		1011006
Yum! Brands Inc	reports	YUM	Consumer Discretionary	Restaurants	Louisville, Kentucky		1041061
Zimmer Holdings	reports	ZMH	Health Care	Health Care Equipment & Services	Warsaw, Indiana		1136869
Zions Bancorp	reports	ZION	Financials	Banks	Salt Lake City, Utah		109380
Zoetis	reports	ZTS	Health Care	Pharmaceuticals	Florham Park, New Jersey		1555280
